descricao;link
Material de Apoio - LDO;https://drive.google.com/drive/u/1/folders/1b294WojWQh06v0QgA-n3ajIL013j79Vt
Decreto de programação orçamentária e financeira do Estado de Minas Gerais.;https://www.almg.gov.br/legislacao-mineira/DEC/49177/2026/#:~:text=Disp%C3%B5e%20sobre%20a%20programa%C3%A7%C3%A3o%20or%C3%A7ament%C3%A1ria,2026%20e%20d%C3%A1%20outras%20provid%C3%AAncias.
Classificador Econômico da Despesa;https://drive.google.com/drive/u/0/folders/1RZ9AQ-4VMFEKHWaXWXvAct41wzmK-bTH
Novo Ementário da Receita;https://docs.google.com/spreadsheets/d/1b1_esEaPs4n2_iGw_YnTjr_r81Hs6dCT/edit?gid=2000470151#gid=2000470151
Ementário de Fontes - DE-PARA STN;https://drive.google.com/drive/u/1/folders/1ch66i7F7z5MVLeowBUDnUq3eoN-WG6V2
DREM - Desvinculação de Receitas do Estado ;https://drive.google.com/drive/folders/1c9cUKhZlo6XmtQvJa6-zzg-dYHa8hWeB
Manual do Monitoramento do PPAG ;https://drive.google.com/drive/folders/1jFpr6phxz3sbGC1G5QEysSRA1Hhtu8QB
Apresentação das principais diretrizes do monitoramento 2025;https://drive.google.com/drive/u/2/folders/1ooOEgGTwzxX5ycga-YWcGNJav3QYFUIi
Vídeo aula sobre o monitoramento no SIGPlan com o passo a passo;https://drive.google.com/drive/u/0/folders/1Y2Wj-nVzLGpKhYaqPoDIEjFC29iE8aHs
Instruções para configuração do modo de compatibilidade do Internet Explore para Microsoft Edge;https://drive.google.com/drive/folders/1-yKXRfXt1ENray9fT606v8T-sI7t27Um
Informativos;https://drive.google.com/drive/folders/1scRRHRsRipB3Rb1KaHcweV7JyVsXgfxB
Planilha de Cadastro dos Usuários do SIGPLAN - Monitoramento;https://drive.google.com/drive/folders/1ahsgOLGVXybYPzHXsdxmyruEdSRIZOig
Planilha de Cadastro dos Usuários do SIGPLAN - Planejamento ;https://drive.google.com/drive/folders/1sZzw4sG-cqHI02ZldJoJEYKY9Zgqw3B2
Regionalização - Relação de Municípios e Regiões Geográficas Intermediárias;https://drive.google.com/drive/folders/1XYDG3m_agxibARAH3_Hq6mj19w8bwj7s
Formulários de Atributos;https://drive.google.com/drive/u/0/folders/1WK0ZWYalEfOJbdepesACwXs6fL6oxw6Y
